Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 400kV N0 1 DOMLOUP - LOUISFERT (poste F);49232;2494;2676;2676;2778;1,469;14,91;92,035;585,913
LIT 400kV N0 1 DOMLOUP-PLAINE HAUTE;112008;2200;2300;2300;2400;3,396;36,665;197,396;1256,665
LIT 400kV NO 2 DOMLOUP-LAUNAY;70614;3465;3622;3622;3780;1,412;18,552;153,822;979,261
LIT 400kV NO 2 DOMLOUP-LOUISFERT (poste F);49165;2494;2676;2676;2778;1,469;14,91;92,035;585,913
LIT 225kV NO 1 DONZAC-VERLHAGUET;44328;831;960;984;1099;2,644;17,552;75,05;477,782
LIT 400kV N0 1 DONZAC - LESQUIVE;50522;3255;3600;3600;3780;1,007;13,151;107,82;686,402
LIT 400kV NO 2 DONZAC-VERFEIL;90406;3255;3600;3600;3780;1,797;23,746;195,697;1245,845
LIT 225kV NO 1 DONZENAC-FEROUGE;43009;814;983;983;1099;2,58;17,133;62,279;396,48
LIT 225kV NO 1 DRONNIERE (LA)-FLERS;52330;1250;1312;1312;1375;2,977;20,563;75,817;482,663
LIT 225kV N0 1 DRONNIERE (LA) - TOURBE;10567;1308;1408;1408;1478;0,614;4,094;14,797;94,202
LIT 225kV N0 2 DRONNIERE (LA) - TOURBE;10550;1308;1408;1408;1478;0,615;4,098;14,81;94,285
LIT 225kV N0 1 ENCO-DE-BOTTE-ESCAILLON (L );42400;1062;1160;1160;1238;2,547;16,892;61,469;391,324
LIT 225kV NO 1 ENCO-DE-BOTTE-PALUN (LA);17835;1001;1093;1093;1165;1,12;7,113;25,447;
LIT 225kV N0 1 ENCO-DE-BOTTE - RABATAU;14103;400;400;715;715;0,713;4,3;231,835;1475,909
LIT 225kV N0 1 ENCO-DE-BOTTE - REALTOR;23562;1062;1160;1160;1238;1,336;8,918;32,087;204,274
LIT 225kV NO 2 ENCO-DE-BOTTE-PALUN (LA);17816;1001;1093;1093;1165;1,123;7,058;25,779;164,112
LIT 225kV N0 1 ECHALAS - GIVORS;6946;900;910;1015;1080;0,42;2,89;18;
LIT 225kV NO 1 ECHALAS-RIVIERE (LA);28844;1800;2030;2030;2224;0,865;8,422;57,082;363,397
LIT 225kV NO 1 ECHALAS-SOLEIL (LE);28207;1375;1437;1437;1500;0,89;8,83;54;
LIT 225kV N0 2 ECHALAS - GIVORS;7034;900;910;1015;1080;0,42;2,89;22;140,056
LIT 400kV NO 2 ECHALAS-PIVOZ-CORDIER;16748;3465;3622;3622;3780;0,268;4,901;32,791;208,756
LIT 225kV NO 1 ECHINGHEN-MANDARINS;31993;;;;;1,919;12,79;46,211;294,186
LIT 225kV NO 1 ECHINGHEN-SORRUS;29715;935;935;935;935;2,65;12,047;41,776;265,956
LIT 225kV N0 1 EGUZON-MARMAGNE;92576;274;412;412;476;14,456;40,726;130,06;827,989
LIT 225kV NO 1 EGUZON-MAUREIX (LE);76254;905;1003;1003;1063;6,387;30,781;108,205;688,857
LIT 225kV NO 1 EGUZON-MOUSSEAUX;51013;520;831;831;895;4,591;21,708;85,033;541,339
LIT 225kV NO 1 EGUZON-MONTLUCON;79482;497;596;596;663;10,43;34,48;107;
LIT 225kV N0 1 EGUZON-ORANGERIE (L);94599;409;644;644;761;8,454;38,123;132,089;840,902
LIT 225kV NO 1 EGUZON-STE-FEYRE;41628;832;921;921;975;3,918;16,521;60,131;382,808
LIT 400kV N0 1 EGUZON -  MARMAGNE;88128;2170;2300;2300;2400;2,742;30,811;147,817;941,033
LIT 400kV N0 1 EGUZON - PLAUD;85207;2200;2300;2300;2400;2,641;29,645;141,511;900,886
LIT 400kV N0 1 EGUZON - RUEYRES;225707;1390;1730;;1920;6,694;73,668;400,883;2552,101
LIT 400kV N0 1 EGUZON - VALDIVIENNE;76000;3465;3622;3622;3780;1,518;19,985;165,917;1056,262
LIT 400kV N0 1 EGUZON - VERGER;143761;2200;2300;2300;2400;4,171;45,846;262,724;1672,554
LIT 400kV NO 2 EGUZON-VALDIVIENNE;75954;3465;3622;3622;3780;1,517;19,973;165,821;1055,649
LIT 225kV NO 1 ELANCOURT-MEZEROLLES;27540;1140;1248;1248;1347;1,676;10,871;39,983;254,538
LIT 225kV N0 1 ELANCOURT-ST-AUBIN;18556;511;768;768;979;1,122;7,373;29,429;187,354
LIT 225kV N0 1 ELANCOURT-YVELINES-OUEST;12751;1056;1056;1360;1360;0,298;2,013;469,685;2990,108
LIT 225kV NO 1 ENVAL-ISSOIRE;31568;617;740;740;826;2,87;13,21;47;
LIT 225kV NO 1 ENVAL-VOLVIC;15031;814;983;983;1099;0,87;6,07;21;
LIT 225kV N0 1 ESCAILLON (L ) - NEOULES;24415;935;935;1085;1085;0,956;7,044;397,669;2531,642
LIT 225kV NO 1 FALLOU-NOVION;4998;620;620;690;690;0,157;0,536;233,248;1484,903
LIT 225kV N0 2 FALLOU-NOVION;5478;935;935;1105;1105;0,106;0,916;179,152;1140,517
LIT 225kV N0 2 FALLOU - PLESSIS-GASSOT;19369;930;930;1050;1050;1,106;7,46;45,518;289,78
LIT 225kV NO 1 FAMARS-GROS-CAILLOU;17235;975;1030;1030;1110;1,407;6,986;24,584;156,509
LIT 225kV NO 1 FARRADIERE (LA)-GRANZAY;43118;1249;1337;1337;1434;2,551;17,077;61,137;389,208
LIT 225kV NO 1 FEROUGE-TALAMET;41489;895;980;;1070;2,487;16,515;60,03;382,162
LIT 225kV NO 1 FEUILLANE-LAVERA;17020;1233;1320;1320;1389;1,021;6,858;24,347;154,998
LIT 225kV N0 1 FEUILLANE - PONTEAU;19037;1375;1437;1437;1500;0,554;5,84;35,632;226,84
LIT 225kV NO 1 FEUILLANE-ST-CHAMAS;35580;1233;1320;1320;1389;2,041;13,924;50,96;324,42
LIT 225kV N0 2 FEUILLANE - PONTEAU;19037;835;835;913;913;0,555;5,856;35,706;227,309
LIT 225kV N0 1 FLANDRE - ROMAINVILLE;5295;633;633;738;738;0,16;0,64;140;
LIT 225kV NO 1 FLEAC-MARQUIS (LE);92259;1112;1233;1233;1307;5,538;36,782;133,222;848,116
LIT 225kV NO 1 FLEAC-MONTGUYON;62460;831;921;921;975;7,482;26,459;82,232;523,504
LIT 225kV N0 1 FLEAC-NIORT;86837;524;644;644;717;10,395;37,201;115,915;737,938
LIT 225kV NO 1 FLEAC-SANILHAC;90158;642;757;757;845;8,058;36,644;126,259;803,787
LIT 225kV NO 1 FLERS-LAUNAY;57880;539;675;675;781;5,018;22,63;179,747;1144,305
LIT 225kV NO 1 FLEYRIAT-VOUGLANS;42068;850;959;959;1050;2,82;17,02;62;
LIT 225kV NO 1 FLOIRAC-MARQUIS (LE);24720;929;965;1088;1140;1,506;9,859;49,781;316,919
LIT 225kV NO 1 FLOIRAC-PESSAC;22465;932;1049;1049;1126;1,347;9,018;32,355;205,977
LIT 225kV NO 1 FLORENSAC - ST VINCENT;25831;1161;1241;1241;1306;1,705;10,144;37,663;239,771
LIT 225kV NO 1 FONT (LA)-RIORGES;50746;358;692;692;883;3,015;20,203;73,372;467,102
LIT 225kV NO 1 FOUSCAIS - TAMAREAU;24931;1233;1320;1320;1389;1,495;10,017;35,871;228,364
LIT 225kV NO 2 FOUSCAIS - TAMAREAU;24908;1233;1320;1320;1389;1,495;9,985;35,907;228,591
LIT 400kV N0 1 FRASNE - GENISSIAT-POSTE;99394;1600;1772;1772;1904;3,012;36,863;157,272;1001,225
LIT 400kV N0 1 FRASNE - MAMBELIN;71747;2070;2282;2282;2400;2,068;22,621;130,16;828,622
LIT 225kV NO 1 FREJUS-TRANS;22800;1062;1066;1160;1238;1,383;9,223;47,398;301,747
LIT 225kV NO 2 FREJUS-TRANS;22800;1062;1066;1160;1238;1,397;9,218;47,938;305,184
LIT 225kV NO 1 GIVORS-BANS-GIVORS;558;900;1015;1015;1112;0,02;0,19;0;
LIT 225kV NO 2 GIVORS-BANS-GIVORS;500;468;722;722;899;0,03;0,2;0;
LIT 225kV NO 3 GIVORS-BANS-GIVORS;465;468;722;722;899;0,03;0,23;1;
LIT 225kV NO 1 GROS-CAILLOU-MASTAING;4208;1273;1346;1346;1453;0,253;1,676;6,1;38,835
LIT 225kV NO 2 GROS-CAILLOU-MASTAING;4318;1273;1346;1346;1453;0,259;1,72;6,257;39,833
LIT 225kV NO 3 GROS-CAILLOU-MASTAING;6105;975;1030;1030;1110;0,497;2,478;8,751;55,711
LIT 225kV NO 1 GRAND-COURONNE-ROUGEMONTIER;23798;1308;1408;1408;1478;1,423;9,529;34,165;217,498
LIT 225kV N0 1 GRAND-COURONNE-ST ETIENNE DU ROUVRAY;9071;1300;1350;1350;1400;0,544;3,646;13,062;83,153
LIT 225kV NO 1 GRAND-COURONNE-VAUPALIERE (LA);25989;1308;1408;1408;1478;1,559;10,443;37,189;236,753
LIT 225kV NO 2 GRAND-COURONNE-ROUGEMONTIER;23822;1308;1408;1408;1478;1,43;9,58;34,351;218,688
LIT 225kV N0 2 GRAND-COURONNE-ST ETIENNE DU ROUVRAY;9071;1308;1408;1408;1478;0,544;3,646;13,062;83,153
LIT 225kV NO 2 GRAND-COURONNE-VAUPALIERE (LA);25444;1308;1408;1408;1478;1,53;10,18;36,6;
LIT 225kV NO 3 GRAND-COURONNE-VAUPALIERE (LA);25402;1000;1000;1190;1190;1,53;10,21;43,2;
LIT 225kV NO 1 GRAND-QUEVILLY-VAUPALIERE (LA);9478;820;820;1040;1040;0,56;3,82;35;
LIT 225kV NO 1 GRANDE-SYNTHE-HOLQUE;19435;1308;1408;1408;1478;1,146;7,622;27,637;175,943
LIT 225kV NO 1 GRANDE-SYNTHE-WARANDE;14722;1308;1408;1408;1478;0,884;5,897;21,288;135,526
LIT 225kV NO 2 GRANDE-SYNTHE-WARANDE;14713;1250;1250;1250;1250;0,884;5,893;21,277;135,453
LIT 225kV NO 3 GRANDE-SYNTHE-WARANDE;14198;1308;1408;1408;1478;0,853;5,685;20,547;130,804
LIT 225kV N0 1 GAMPALOUP - MIONS;40129;880;992;992;1086;2,41;16,25;56;
LIT 225kV N0 1 GAMPALOUP - PONT-EVEQUE;24656;880;992;992;1086;1,43;9,66;34;
LIT 225kV N0 1 GANGES - ST VICTOR;77078;325;457;457;572;10,901;30,969;110,277;702,048
LIT 225kV N0 1 GANGES - VIRADEL;58068;302;424;424;531;6,56;23,93;79,454;505,82
LIT 225kV NO 1 GARCHIZY-ST-ELOI;12095;814;930;983;1099;0,689;4,611;29,745;189,365
LIT 400kV N0 1 GATINAIS - GAUGLIN;87032;3195;3561;3561;3780;1,74;22,883;189,832;1208,509
LIT 400kV N0 1 GATINAIS - TABARDERIE;44816;3465;3622;3622;3780;0,899;11,804;97,813;622,697
LIT 400kV NO 2 GATINAIS-GAUGLIN;86978;3195;3561;3561;3780;1,752;22,99;190,43;1212,315
LIT 400kV NO 2 GATINAIS-TABARDERIE;44814;3465;3622;3622;3780;0,899;11,804;97,815;622,71
LIT 225kV NO 1 LA GAUDIERE - LIVIERE;26831;1090;1090;1260;1260;0,821;5,543;80,544;512,758
LIT 225kV NO 1 LA GAUDIERE - MOREAU;24262;946;1010;1010;1063;2,208;9,825;34,221;217,855
LIT 225kV NO 1 LA GAUDIERE - ST VINCENT;55078;1233;1320;1320;1389;3,26;22,082;79,778;507,881
LIT 225kV NO 2 LA GAUDIERE - MOREAU;24293;1233;1320;1320;1389;1,46;9,683;35,237;224,323
LIT 400kV N0 1 GAUDIERE (LA) - ISSEL;59180;2200;2300;2300;2400;1,775;17,931;112,482;716,084
LIT 400kV N0 1 LA GAUDIERE - RUEYRES;175049;2176;2400;2400;2576;5,214;58,322;303,869;1934,492
LIT 400kV N0 1 LA GAUDIERE - TAMAREAU;97048;3150;3392;3392;3590;2,036;29,623;184,215;1172,752
LIT 400kV NO 2 LA GAUDIERE - ISSEL;59180;2200;2300;2300;2400;1,775;17,999;111,619;710,592
LIT 400kV NO 2 LA GAUDIERE - TAMAREAU;97048;3150;3392;3392;3590;2,036;28,774;189,164;1204,252
LIT 400kV N0 2 GAUGLIN-ST-ELOI;70830;3195;3561;3561;3780;1,417;18,639;154,61;984,276
LIT 225kV NO 1 GAVRELLE-PERTAIN;62843;956;1010;1010;1088;5,719;25,952;87,467;556,831
LIT 225kV NO 1 GENISSIAT-POSTE-IZERNORE;27258;862;928;928;987;1,928;9,402;54,635;347,817
LIT 225kV NO 1 GENISSIAT-POSTE-SERRIERES;20269;477;566;566;642;1,98;8,5;28;
LIT 225kV NO 1 GENISSIAT-POSTE-VOUGLANS;40005;853;991;991;1118;2,558;15,756;58,141;370,14
LIT 400kV N0 1 GENISSIAT-POSTE - VIELMOULIN;168213;2200;2556;2556;2800;3,545;51,485;320,809;2042,332
LIT 400kV NO 2 GENISSIAT-POSTE-VIELMOULIN;168248;2200;2556;2556;2864;3,537;51,373;320,113;2037,901
LIT 400kV N0 3 GENISSIAT-POSTE - VIELMOULIN;169194;1236;1236;1236;1236;7,59;58,345;283,746;1806,382
LIT 225kV NO 1 GINESTOUS-LESQUIVE;27394;1080;1185;1185;1289;1,645;10,967;39,599;252,095
LIT 225kV NO 2 GINESTOUS-LESQUIVE;27386;1080;1185;1185;1289;1,644;11,017;39,467;251,258
LIT 225kV N0 1 GIVORS - MIONS;19391;695;782;782;940;1,62;8,05;35;
LIT 225kV NO 2 GIVORS-MIONS;20765;576;917;917;1260;0,668;6,62;37,748;240,312
LIT 225kV NO 2 GIVORS-SOLEIL (LE);34932;639;717;717;783;2,802;13,691;62,194;395,942
LIT 225kV NO 1 GODIN-RUEYRES;46373;637;706;706;793;4,693;19,594;62,849;400,112
LIT 225kV NO 1 GODIN-ST-VICTOR;74374;442;511;511;577;11,175;31,341;99,851;635,67
LIT 225kV NO 1 GODIN-VERLHAGUET;96865;819;897;897;974;8,815;41,177;130,74;832,318
LIT 225kV N0 1 GOURJADE - ST VICTOR;66436;828;908;908;986;5,852;26,821;93,043;592,333
LIT 225kV NO 1 GOURJADE - VERFEIL;69653;828;908;908;986;5,828;28,348;99,127;631,062
LIT 225kV NO 1 GRAFFENSTADEN-MARLENHEIM;18385;843;909;909;996;1,507;7,466;25,948;165,192
LIT 225kV NO 1 GRAFFENSTADEN-SCHEER;23641;654;758;758;857;2,123;9,657;33,092;210,668
LIT 225kV NO 1 GRANZAY-NIORT;26683;1249;1337;1337;1434;1,599;10,685;38,267;243,614
LIT 225kV N0 1 GRANZAY-ST-FLORENT;10767;1249;1337;1337;1434;0,644;4,29;15,509;98,733
LIT 225kV N0 2 GRANZAY - ST-FLORENT;10767;1012;1150;1150;1247;0,645;4,296;15,531;98,871
LIT 400kV N0 1 GRANZAY - JUMEAUX (LES);79944;2200;2300;2300;2400;2,364;24,314;150,815;960,118
LIT 400kV N0 1 GRANZAY - PREGUILLAC;64198;3072;3414;3414;3598;1,35;19,588;121,989;776,608
LIT 400kV N0 1 GRANZAY - VALDIVIENNE;103436;3465;3622;3622;3780;2,07;27,226;225,8;1437,485
LIT 400kV NO 2 GRANZAY-JUMEAUX (LES);79954;2200;2300;2300;2400;2,364;24,317;150,727;959,56
LIT 400kV NO 2 GRANZAY-PREGUILLAC;64213;3072;3414;3414;3598;1,349;19,588;121,987;776,596
LIT 400kV NO 2 GRANZAY-VALDIVIENNE;103445;3465;3622;3622;3780;2,069;27,226;225,797;1437,471
LIT 225kV NO 1 GREZILLAC-GUPIE;43710;831;984;984;1099;2,634;17,483;63,573;404,716
LIT 225kV NO 1 GRISOLLES-SERRE-PONCON;17195;1059;1141;1141;1215;1,064;6,729;24,463;155,739
LIT 225kV NO 1 GROSNE-GUEUGNON;54965;814;983;983;1099;3,29;21,899;79,311;504,909
LIT 225kV NO 1 GROSNE-MACON;59040;618;718;718;807;1,892;19,148;107,529;684,552
LIT 400kV N0 1 GROSNE - ST-VULBAS-OUEST;115235;2238;2382;2382;2526;3,567;39,288;198,805;1265,63
LIT 400kV N0 1 GROSNE - VIELMOULIN;82310;2138;2356;2356;2522;2,549;28,582;136,878;871,392
LIT 225kV N0 1 GUEBWILLER - LOGELBACH;28559;1070;1155;1155;1265;1,722;11,524;40,826;259,905
LIT 225kV N0 1 GUEBWILLER - VOGELGRUN;34526;1070;1155;1155;1265;2,087;13,943;49,171;313,035
LIT 225kV N0 1 HARCOURT (POSTE BLINDE) - RAIE-TORTUE;6997;930;930;1095;1095;0,149;1,351;184,145;1172,307
LIT 225kV N0 2 HARCOURT (POSTE BLINDE)-RAIE-TORTUE;6253;660;660;900;900;0,218;0,842;330,827;2106,11
LIT 225kV N0 1 HAVRE (LE) (POSTE) - PONT-SEPT;3952;2200;2300;2300;2400;0,119;1,154;7,797;49,639
LIT 225kV N0 2 HAVRE (LE) (POSTE) - PONT-SEPT;4244;2200;2300;2300;2400;0,127;1,241;8,38;53,348
LIT 400kV N0 2 HAVRE (LE) (POSTE) - ROUGEMONTIER;54113;2104;2300;2300;2400;1,65;16,594;99,091;630,833
LIT 400kV N0 3 HAVRE (LE) (POSTE) - ROUGEMONTIER;54084;2104;2300;2300;2400;1,57;17,87;87;
LIT 225kV NO 1 HOLQUE-LONGUENESSE;12938;969;969;1061;1061;0,782;5,214;23,441;149,229
LIT 225kV NO 1 HOLQUE-WARANDE;21021;1300;1350;1350;1400;1,263;8,407;30,405;193,563
LIT 225kV NO 2 HOLQUE-LONGUENESSE;12948;1308;1408;1408;1478;0,779;5,192;18,76;119,427
LIT 400kV N0 1 HOUDREVILLE - LOGELBACH;109145;2055;2277;2277;2458;3,091;35,696;191,803;1221,055
LIT 400kV N0 1 HOUDREVILLE - MERY-SUR-SEINE;162860;2366;2596;2596;2778;4,883;49,515;306,8;1953,151
LIT 400kV N0 1 HOUDREVILLE - VINCEY;28045;2214;2450;2450;2630;0,809;8,949;50,988;324,597
LIT 400kV NO 2 HOUDREVILLE-MERY-SUR-SEINE;162850;2366;2596;2596;2778;4,883;49,523;306,846;1953,442
LIT 225kV NO 1 HOURAT (LE)-MARSILLON;48124;419;580;580;720;4,321;19,708;66,967;426,327
LIT 225kV NO 1 HOURAT (LE)-MIEGEBAT;6195;392;542;542;673;0,556;2,595;8,478;53,971
LIT 225kV N0 1 ILE-NAPOLEON-LUTTERBACH;18460;847;985;985;1116;1,107;7,448;26,299;167,426
LIT 225kV N0 1 ILE-NAPOLEON - OTTMARSHEIM;11225;1100;1187;1187;1302;0,673;4,467;16,255;103,485
LIT 400kV N0 1 ISSEL - VERFEIL;38918;2170;2400;2400;2574;1,167;11,809;73,876;470,309
LIT 400kV NO 2 ISSEL - VERFEIL;38897;2170;2400;2400;2574;1,166;11,833;73,294;466,607
LIT 225kV NO 1 ISSOIRE-LIGNAT;20903;1002;1113;1113;1205;1,28;8,47;30;
LIT 225kV NO 1 ISSOIRE-PRATCLAUX;74277;770;928;928;1037;4,546;30,66;103,282;657,513
LIT 225kV NO 1 JALIS-LESQUIVE;71153;828;908;908;986;5,569;28,651;101,393;645,487
LIT 225kV NO 1 JONQUIERES-ST-CESAIRE;21709;1055;1055;1230;1230;1,244;8,273;35,11;223,516
LIT 225kV N0 2 JONQUIERES-ST-CESAIRE;21840;990;990;1165;1165;1,302;8,682;40,102;255,299
LIT 400kV N0 1 JONQUIERES - TAVEL;25266;2462;2644;2644;2798;0,656;7,267;50,509;321,55
LIT 225kV NO 1 KEMBS-OTTMARSHEIM;13944;539;661;661;754;1,24;5,637;19,768;125,847
LIT 225kV NO 1 KEMBS-SIERENTZ;3807;827;891;891;976;0,335;1,586;5,247;33,406
LIT 225kV N0 1 LONG-CHAMP (LE) - SOISSONS-NOTRE-DAME;13165;731;835;835;925;1,112;5,351;18,501;117,783
LIT 225kV NO 1 LOGIS-NEUF-VALENCE;33476;695;782;782;855;2,95;13,684;46,914;298,663
LIT 225kV NO 1 LANDERNEAU-LOSCOAT;25862;1212;1262;1262;1318;1,551;10,314;37,317;237,566
LIT 225kV NO 1 LANDERNEAU-MARTYRE (LA);3870;1217;1266;1266;1322;0,222;1,324;4,89;31,132
LIT 225kV NO 2 LANDERNEAU-MARTYRE (LA);3831;1056;1123;1123;1189;0,249;1,483;5,498;35,002
LIT 225kV N0 1 LANDRES-MOULAINE;19700;1070;1155;1155;1265;1,207;8,015;27,771;176,797
LIT 225kV NO 1 LANDRES-MONTOIS;23325;1100;1187;1187;1302;1,396;9,385;33,851;215,504
LIT 225kV N0 1 LANDRES-STENAY;49025;1100;1187;1187;1302;2,804;19,287;71,207;453,32
LIT 225kV NO 1 LANDRES-VIGY;43185;1070;1155;1155;1265;2,59;17,345;62,144;395,623
LIT 225kV NO 1 LANNEMEZAN-PRAGNERES;62874;737;820;820;889;5,673;25,457;88,754;565,026
LIT 225kV NO 1 LATENA-PERTAIN;16987;1172;1235;1285;1388;1,003;6,694;30,791;196,022
LIT 225kV NO 1 LATENA-ROYE;11268;1172;1285;1285;1388;0,65;4,449;16,333;103,976
LIT 400kV N0 1 LATENA - VILLEVAUDE;102029;2200;2300;2300;2400;3,063;31,059;192,249;1223,894
LIT 225kV NO 1 LAUNAY-RANCE-POSTE;66725;901;988;988;1050;5,956;27,074;93,919;597,91
LIT 400kV N0 1 LAUNAY - TAUTE;82053;3465;3622;3622;3780;1,641;21,58;179,155;1140,537
LIT 400kV N02 LAUNAY-TAUTE;82051;3465;3622;3622;3780;1,641;21,579;179,151;1140,509
LIT 225kV NO 1 LAVERA-PORT-DE-BOUC (CLIENT);8816;1233;1320;1320;1389;0,526;3,524;12,707;80,894
LIT 225kV N0 1 LAVERA - PONTEAU;2540;2200;2300;2300;2400;0,063;0,696;5,328;33,918
LIT 225kV N0 1 LAVERA - SEPTEMES;28904;1062;1160;1160;1238;1,732;11,488;41,797;266,09
LIT 225kV NO 1 LEGUEVIN-LESQUIVE;24939;813;890;890;966;2,266;10,729;35,598;226,621
LIT 225kV N0 1 LEGUEVIN - PORTET-ST-SIMON;17986;813;890;890;966;1,616;7,481;24,699;157,241
LIT 225kV NO 2 LESCAR-MARSILLON;18078;1172;1248;1248;1310;1,085;7,269;26,031;165,72
LIT 225kV NO 1 LESQUIVE-VERLHAGUET;24271;828;908;908;986;2,045;9,143;34,203;217,741
LIT 225kV NO 2 LESQUIVE-VERLHAGUET;25755;813;890;890;966;2,266;10,706;35,577;226,49
LIT 400kV N0 1 LESQUIVE - VERFEIL;40205;3255;3600;3600;3780;0,805;10,592;87,694;558,279
LIT 225kV NO 1 LIGNAT-RULHAT;10255;1032;1146;1146;1241;0,633;4,196;14,352;91,369
LIT 225kV NO 1 LINGOSTIERE-TRINITE-VICTOR;12188;816;889;889;947;1,092;4,937;17,279;
LIT 225kV NO 1 LIVIERE - ST VINCENT;28524;1234;1320;1320;1389;1,661;11,463;41,341;263,185
LIT 400kV N0 1 LOGELBACH - MUHLBACH;30365;2196;2400;2400;2596;0,911;9,256;56,923;362,38
LIT 400kV N0 1 LONNY - MAZURES;10770;2196;2400;2400;2596;0,325;3,36;20,059;127,699
LIT 400kV N0 1 LONNY-MOULAINE;112247;3465;3622;3622;3780;2,26;29,7;245,634;1563,756
LIT 400kV NO 2 LONNY-MASTAING;118259;3465;3622;3622;3780;2,374;31,112;257,916;1641,942
LIT 400kV NO 2 LONNY-MAZURES;10831;2196;2400;2400;2596;0,325;3,339;20,205;128,632
LIT 400kV N0 2 LONNY-MOULAINE;112252;3465;3622;3622;3780;2,259;29,692;245,577;1563,395
LIT 400kV N0 3 LONNY-MASTAING;118189;3465;3622;3622;3780;2,361;31,053;257,801;1641,215
LIT 225kV NO 1 LOSCOAT-MARTYRE (LA);29488;1280;1332;1332;1382;1,705;11,348;41,059;261,392
LIT 225kV NO 1 LUMES-MAZURES;23715;843;909;909;996;1,937;9,449;33,167;211,15
LIT 225kV NO 1 LUMES-MOHON;4700;647;749;749;847;0,395;1,79;6,048;38,503
LIT 225kV NO 1 LUMES-STENAY;44900;1100;1187;1187;1302;2,551;17,609;64,079;407,938
LIT 225kV NO 2 LUMES-MAZURES;22765;843;909;909;996;1,832;8,917;31,202;198,64
LIT 225kV N0 3 LUMES - MOHON;5500;328;554;554;694;0,357;2,325;8,43;53,668
LIT 225kV NO 1 LUTTERBACH-SIERENTZ;22900;847;985;985;1116;1,375;9,214;33,013;210,165
LIT 225kV NO 2 LUTTERBACH-SIERENTZ;22900;847;985;985;1116;1,375;9,208;33,014;210,171
LIT 225kV N0 1 MITRY-MORY (E.D.F.)-SAUSSET;4933;731;835;835;930;0,397;1,989;7,016;44,663
LIT 225kV N0 1 MITRY-MORY (E.D.F.)-VILLEVAUDE;8375;899;984;984;1061;0,727;3,391;11,867;75,548
