Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 400kV N0 1 MERY-SUR-SEINE - VESLE;80810;2200;2300;2300;2400;2,504;26,819;140,848;896,669
LIT 400kV N0 1 MERY-SUR-SEINE - VIELMOULIN;149915;2600;2700;2700;2800;3,149;45,724;284,641;1812,083
LIT 400kV NO 2 MERY-SUR-SEINE-VIELMOULIN;149920;2600;2700;2700;2800;3,147;45,696;284,466;1810,97
LIT 225kV NO 1 MALGOVERT-PASSY;35004;533;622;622;673;4,59;14,74;48;
LIT 225kV NO 1 MALINTRAT-RULHAT;5747;1034;1149;1149;1244;0,355;2,328;8,146;51,856
LIT 225kV NO 2 MALINTRAT-RULHAT;5787;1034;1149;1149;1244;0,357;2,344;8,205;52,237
LIT 225kV NO 1 MAMBELIN-PALENTE;52934;577;706;706;782;6,326;22,083;72,68;462,694
LIT 225kV NO 1 MAMBELIN-PONTARLIER;86680;412;449;449;449;9,519;35,036;121,723;774,911
LIT 225kV NO 1 MAMBELIN-PUSY;77914;525;730;;835;6,231;31,693;109,585;697,642
LIT 225kV NO 2 MAMBELIN-PALENTE;52770;577;706;706;807;3,632;21,629;73,883;470,355
LIT 400kV N0 1 MAMBELIN - SIERENTZ;75255;2070;2282;2282;2400;2,35;24,592;132,447;843,187
LIT 400kV N0 1 MANDARINS - WARANDE;28604;3465;3622;3622;3780;0,572;7,547;62,167;395,767
LIT 225kV NO 1 MANOIR (LE)-ST-PIERRE-DE-BAILLEUL;41848;757;946;946;1075;2,544;16,971;59,613;379,507
LIT 225kV NO 1 MARGERIDE-PRATCLAUX;38458;792;844;844;905;3,738;15,121;55,942;356,139
LIT 225kV NO 1 MARGERIDE-RUEYRES;47388;802;844;844;919;4,645;19,038;67,969;432,705
LIT 400kV N0 1 MARLENHEIM - SCHEER;33046;3294;3622;3622;3780;0,663;8,703;72,079;458,869
LIT 400kV N0 1 MARLENHEIM-VIGY;137596;3465;3622;3622;3780;2,678;36,336;296,537;1887,813
LIT 225kV NO 1 MARMAGNE-MOUSSEAUX;65313;320;496;496;585;7,48;27,751;87,679;558,182
LIT 225kV NO 1 MARMAGNE-VARENNES (-SUR-FOUZON);53196;409;644;644;761;4,746;21,572;74,79;476,126
LIT 400kV N0 1 MARMAGNE - TABARDERIE;86084;1838;2036;2036;2140;3,753;29,361;145,573;926,748
LIT 400kV NO 2 MARMAGNE-TABARDERIE;90623;1410;1890;1890;2114;2,791;30,898;154,039;980,641
LIT 225kV NO 1 MARSILLON-PRAGNERES;84292;565;673;673;765;7,841;34,13;118,814;756,39
LIT 225kV NO 1 MARTYRE (LA)-SQUIVIDAN;51302;1056;1123;1123;1189;3,038;20,399;74,183;472,264
LIT 225kV NO 1 MASQUET-PESSAC;31540;932;1049;1049;1126;1,892;12,554;45,665;290,71
LIT 225kV NO 1 MASTAING-PONT-SUR-SAMBRE;44098;975;976;1030;1104;3,865;17,913;66,137;421,04
LIT 225kV NO 1 MASTAING-PERIZET (LE);24738;975;1030;1030;1110;2,219;10,244;35,644;226,917
LIT 225kV NO 1 MAUBEUGE-PONT-SUR-SAMBRE;6968;956;1010;1010;1088;0,588;2,808;9,873;62,855
LIT 225kV NO 1 MAUGES (LES)-VERTOU;47048;488;682;682;795;4,191;19,19;65,699;418,254
LIT 225kV NO 1 MAUREIX (LE)-PEYRAT-LE-CHATEAU;35567;725;800;;865;2,673;14,733;48,939;311,556
LIT 400kV N0 1 MENUEL - TAUTE;35856;3465;3622;3622;3780;0,72;9,468;78,603;500,4
LIT 400kV N0 1 MENUEL - TOLLEVAST;14210;2662;2878;2878;2996;0,428;4,356;26,731;170,175
LIT 400kV N02 MENUEL-TAUTE;36440;3465;3622;3622;3780;0,729;9,584;79,563;506,516
LIT 400kV NO 2 MENUEL-TOLLEVAST;14210;2662;2878;2878;2996;0,429;4,347;26,977;171,743
LIT 400kV N03 MENUEL-TAUTE;36159;3465;3622;3622;3780;0,72;9,468;78,603;500,4
LIT 400kV N04 MENUEL-TAUTE;36160;3465;3622;3622;3780;0,72;9,468;78,603;500,4
LIT 225kV NO 1 MERLATIERE-SIRMIERE;25917;1249;1337;1337;1432;1,514;10,322;37,288;237,381
LIT 225kV N0 1 MERLATIERE - SOULLANS;43410;1249;1337;1337;1434;2,603;17,492;62,187;395,897
LIT 225kV N0 1 MEZEROLLES - PORCHEVILLE;6148;520;782;782;998;0,371;2,449;8,844;56,301
LIT 225kV N0 2 MEZEROLLES - PORCHEVILLE;6134;520;782;782;998;0,371;2,447;8,849;56,334
LIT 225kV N0 3 MEZEROLLES-PORCHEVILLE;6406;511;768;768;979;0,366;2,445;8,632;54,95
LIT 400kV N0 1 MEZEROLLES - TILLEUL;70737;2200;2300;2300;2400;2,123;21,523;133,337;848,851
LIT 400kV N0 1 MEZEROLLES-YVELINES-OUEST;17274;2200;2300;2300;2400;0,518;5,251;32,561;207,288
LIT 400kV NO 2 MEZEROLLES-TILLEUL;70115;2200;2300;2300;2400;2,106;21,35;132,29;842,184
LIT 400kV NO 2 MEZEROLLES-VILLEJUST;60042;2200;2300;2300;2400;1,802;18,299;112,975;719,223
LIT 225kV NO 1 MIONS-MOIRANS;67808;579;672;672;755;5,95;27,53;92;
LIT 225kV NO 1 MIONS-MOUCHE (LA);13700;1800;2030;2030;2224;0,42;4,24;26;
LIT 225kV NO 1 MIONS-PONT-EVEQUE;18949;880;992;992;1086;1,22;8,32;27;
LIT 225kV NO 1 MIONS-ST-VULBAS-EST;33600;297;442;442;545;3,84;14,24;45;
LIT 225kV N0 1 MIONS-VENISSIEUX;9344;900;1015;1015;1112;0,33;3,01;17;
LIT 225kV NO 2 MIONS-MOUCHE (LA);13921;1800;1940;2030;2224;0,44;4,31;27;
LIT 225kV N0 2 MIONS - VENISSIEUX;9493;1050;1050;1270;1270;0,32;2,83;47;
LIT 225kV NO 1 MOLE (LA)-RUEYRES;81267;622;748;748;834;7,221;34,122;110,947;706,313
LIT 225kV NO 1 MOLE (LA)-STE-FEYRE;105922;578;694;694;774;8,123;41,941;154,044;980,672
LIT 225kV NO 2 MOLE (LA)-RUEYRES;77606;622;748;748;834;6,805;32,206;104,676;666,385
LIT 400kV N0 1 MOLIERE - QUINTES (LES);46831;3465;3622;3622;3780;0,984;12,421;102,268;651,059
LIT 225kV NO 1 MORBRAS-VILLENEUVE-ST-GEORGES;18381;886;886;984;1061;1,37;6,904;74,821;476,325
LIT 400kV N0 1 MORBRAS - VILLEVAUDE;15315;3465;3622;3622;3780;0,244;3,966;37,356;237,815
LIT 400kV N0 2 MORBRAS - VILLEVAUDE;15228;3465;3622;3622;3780;0,233;3,897;33,981;216,329
LIT 225kV NO 1 MOUGINS-PLAN-DE-GRASSE;12987;1000;1000;1160;1185;0,584;4,203;65,078;414,298
LIT 400kV N0 1 MOULAINE - VIGY;61570;3465;3622;3622;3780;1,234;16,217;134,09;853,646
LIT 400kV N0 1 MARQUIS (LE) - SAUCATS;52535;2070;2272;2272;2410;1,595;17,587;89,955;572,668
LIT 400kV N0 1 MONTEZIC (POSTE EXTERIEUR) - RUEYRES;6805;1677;1875;1875;2100;0,163;2,758;9,745;62,039
LIT 225kV NO 1 MONTLUCON-MONTVICQ;17280;555;692;692;790;1,752;7,035;24,243;154,337
LIT 225kV NO 1 MONTOIS-SAINT HUBERT;14580;456;556;556;634;1,92;6,187;19,65;125,097
LIT 225kV NO 1 MONTPELLIER - TAMAREAU;20339;1233;1320;1320;1389;1,217;8,128;29,297;186,513
LIT 225kV NO 2 MONTPELLIER - TAMAREAU;20170;1161;1241;1241;1306;1,309;8,029;29,628;188,617
LIT 225kV N0 3 MONTPELLIER - TAMAREAU;20543;1200;1200;1320;1389;1,216;8,161;39,025;248,442
LIT 225kV NO 1 MONTPEZAT-PRATCLAUX;66141;346;524;524;649;5,976;26,796;93,08;592,563
LIT 400kV N0 1 MUHLBACH - SCHEER;57810;1740;2010;2010;2262;1,59;17,975;107,675;685,477
LIT 400kV N0 1 MUHLBACH-SIERENTZ;32688;2200;2300;2300;2400;1,3;10,8;33,93;216,005
LIT 400kV N0 1 MUHLBACH - VINCEY;111165;2055;2277;2277;2458;3,186;35,994;198,357;1262,781
LIT 400kV N0 2 MUHLBACH-SIERENTZ;32497;2200;2300;2300;2400;1,3;10,7;44,7;284,569
LIT 225kV N0 1 NEMOURS-VILLEMANDEUR;28561;520;782;782;998;1,682;11,498;40,976;260,862
LIT 225kV NO 1 NEOULES-VINS;27764;1057;1057;1160;1224;1,669;11,088;45,903;292,225
LIT 400kV N0 1 NEOULES - REALTOR;67690;2006;2192;2192;2336;2,16;20,427;128,312;816,86
LIT 400kV N0 1 NEOULES - TRANS;45633;2128;2326;2326;2482;1,357;13,765;85,099;541,759
LIT 400kV NO 2 NEOULES-REALTOR;67681;2006;2192;2192;2336;2,16;20,427;128,312;816,86
LIT 400kV N0 2 NEOULES - TRANS;45205;2128;2326;2326;2482;1,357;13,765;85,099;541,759
LIT 225kV N0 1 NIORT - VAL-DE-SEVRE;52463;803;858;858;918;6,196;22,472;73,329;466,824
LIT 225kV N0 1 NOGENTEL-ORMES;57945;;;;;3,502;23,311;84,537;538,177
LIT 225kV NO 1 ONET-LE-CHATEAU-RUEYRES;49985;902;1004;1004;1131;2,935;20,096;71,476;455,028
LIT 225kV N0 1 ORMES-VESLE;23535;1172;1285;1285;1388;1,432;9,593;34,39;218,932
LIT 225kV N0 3 ORMES-VESLE;21661;1140;1248;1248;1347;1,311;8,738;30,562;194,565
LIT 225kV NO 1 PRAZ-ST-ANDRE-SAUSSAZ II (LA);9854;966;1076;1076;1168;0,68;3,98;14;
LIT 225kV N0 1 PIED-DE-BORNE - PRATCLAUX;68823;315;400;400;493;9,132;29,257;90,871;578,503
LIT 225kV N0 1 PLESSIS-GASSOT - SAUSSET;14028;899;984;984;1061;1,154;5,691;20,011;127,395
LIT 225kV N0 1 PLESSIS-GASSOT - SEINE;17062;888;950;972;1049;1,303;6,855;34,486;219,548
LIT 225kV N0 3 PLESSIS-GASSOT - SEINE;16391;1796;1800;1975;2100;0,491;4,808;37,149;236,501
LIT 400kV N0 1 PLESSIS-GASSOT - SAUSSET;13828;2300;2522;2522;2696;0,425;4,707;23,536;149,832
LIT 400kV N0 1 PLESSIS-GASSOT - TERRIER;29084;2300;2522;2522;2696;0,805;9,079;54,359;346,061
LIT 400kV N0 2 PLESSIS-GASSOT - TERRIER;28911;2200;2300;2300;2400;0,802;8,904;55,208;351,462
LIT 400kV N0 3 PLESSIS-GASSOT - TERRIER;27362;3465;3622;3622;3780;0,551;7,223;59,565;379,203
LIT 400kV N0 4 PLESSIS-GASSOT - TERRIER;27372;3465;3622;3622;3780;0,552;7,225;59,588;379,35
LIT 400kV N0 4 PLESSIS-GASSOT - VILLEVAUDE;25390;2200;2300;2300;2400;0,785;8,731;42,808;272,521
LIT 225kV NO 1 PLAINE HAUTE-ROSPEZ;54579;1375;1437;1437;1484;3,275;21,742;79,043;503,205
LIT 225kV NO 1 PLAINE HAUTE-TREGUEUX;13973;1212;1262;1262;1318;0,835;5,58;20,08;127,834
LIT 225kV NO 2 PLAINE HAUTE-TREGUEUX;13946;1280;1332;1332;1382;0,837;5,591;20,121;128,092
LIT 225kV N0 1 PORT-JEROME-ROUGEMONTIER;25271;720;720;950;950;1,498;10,023;68,397;435,432
LIT 225kV N0 1 PORT-JEROME-SANDOUVILLE;22280;1308;1408;1408;1478;1,336;8,951;32,069;204,159
LIT 225kV NO 1 PORT-JEROME-VAUPALIERE (LA);41042;618;745;745;819;3,64;16,84;61;
LIT 225kV N0 1 PLAN-D ORGON - ROQUEROUSSE;19640;816;889;889;947;1,755;8,022;27,658;176,076
LIT 225kV NO 1 PLAN-D ORGON-TAVEL;41590;1062;1160;1160;1238;0,841;10,965;89,757;571,413
LIT 225kV NO 1 PETITE-ROSSELLE-SARREGUEMINES;24575;843;909;909;996;1,985;10,313;36,483;232,259
LIT 225kV NO 1 PETITE-ROSSELLE-ST-AVOLD;15830;715;715;840;840;1,424;6,322;31,429;200,082
LIT 225kV N0 1 POTEAU-ROUGE - SQUIVIDAN;61476;1280;1332;1332;1382;3,689;24,528;88,86;565,699
LIT 225kV N0 1 POTEAU-ROUGE - THEIX;52773;1212;1262;1262;1318;3,166;21,043;76,364;486,15
LIT 225kV NO 1 PONT-SEPT-SAINNEVILLE;11365;455;455;560;560;0,62;3,468;137,916;878,004
LIT 225kV N0 1 PONT-SEPT-SANDOUVILLE;14613;1308;1408;1408;1478;0,877;5,875;21,019;133,813
LIT 225kV N0 1 PORTET-ST-SIMON - RIVENEUVE;54760;813;890;890;966;4,996;22,853;75,248;479,045
LIT 225kV N0 1 PORTET-ST-SIMON - ST-ORENS;11937;780;780;940;940;0,722;4,696;28,834;183,566
LIT 225kV N0 1 PORTET-ST-SIMON -TARASCON;79654;430;550;;630;7,159;32,6;111,97;712,821
LIT 225kV N0 2 PORTET-ST-SIMON - VERFEIL;29255;780;780;940;940;1,773;11,735;54,066;344,193
LIT 225kV N0 3 PORTET-ST-SIMON - VERFEIL;30788;756;858;858;921;2,379;12,608;43,096;274,359
LIT 225kV NO 1 PALUN (LA)-SEPTEMES;16137;1375;1437;1437;1500;0,524;6,439;24,104;153,451
LIT 225kV N0 1 PALUN (LA) - SAINTE-TULLE 1;45834;816;889;889;947;3,511;18,486;65,282;415,598
LIT 225kV NO 2 PALUN (LA)-SEPTEMES;15600;1062;1160;1160;1238;0,911;6,115;21,862;139,176
LIT 225kV NO 1 PASSY-PRESSY;26303;619;687;687;744;2,315;10,285;39,945;254,3
LIT 225kV N0 1 PATIS - REMISE;19879;1035;1035;1235;1235;;;;
LIT 225kV NO 1 PATIS-TERRIER;25455;910;910;1105;1105;1,426;9,744;47,213;300,57
LIT 225kV NO 1 PELISSIER-ST-VICTOR;55118;1018;1117;1117;1213;3,91;22,5;81;
LIT 225kV NO 1 PERIZET (LE)-SETIER;27058;579;709;709;822;2,404;11,2;37,373;237,925
LIT 225kV NO 1 PERTAIN-ROYE;12168;566;692;692;802;1,083;4,936;25,181;160,31
LIT 225kV NO 1 PESSAC-SAUCATS;21293;938;980;1055;1132;1,234;8,332;30,988;197,276
LIT 225kV NO 2 PESSAC-SAUCATS;21233;932;1049;1049;1126;1,235;8,334;31,663;201,575
LIT 225kV NO 1 PLAISANCE-ROMAINVILLE;7921;480;480;835;835;0,393;2,335;171,895;1094,318
LIT 225kV N0 1 PONTEAU - REALTOR;34309;1062;1160;1160;1238;1,009;10,357;63,218;402,457
LIT 225kV N0 2 PONTEAU - REALTOR;34309;1062;1160;1160;1238;1,009;10,364;63,255;402,693
LIT 225kV NO 1 PORCHEVILLE-PUISEUX;22686;511;768;768;979;1,381;9,031;32,695;208,143
LIT 225kV NO 1 PORCHEVILLE-ST-PIERRE-DE-BAILLEUL;48359;1140;1248;1248;1347;2,91;19,42;68,057;433,267
LIT 225kV NO 1 PRATCLAUX-SANSSAC (L'EGLISE);14685;639;717;717;860;1,338;6,033;20,679;131,644
LIT 225kV NO 1 PRELES (LES)-SEREIN;13940;1100;1187;1187;1302;0,842;5,611;20,281;129,112
LIT 225kV NO 2 PRELES (LES)-SEREIN;14135;843;909;909;996;1,266;5,727;19,959;127,06
LIT 225kV N0 1 PIERRETTE (LA) - VERTEFEUILLE;10423;825;825;990;990;0,951;4,24;17,99;114,525
LIT 225kV N0 1 PUSY-ROLAMPONT;74096;827;891;891;976;6,717;30,544;102,916;655,18
LIT 225kV N0 1 PUTEAUX - PUTEAUX IMPASSE LEGAGNEUX;165;;;;;0,01;0,01;5;31,831
LIT 225kV N0 2 PUTEAUX - PUTEAUX IMPASSE LEGAGNEUX;303;;;;;0,01;0,01;5;31,831
LIT 225kV N0 1 PYMONT-VOUGLANS;37473;704;866;866;990;2,284;14,652;54,043;344,048
LIT 225kV NO 1 QUATRE SEIGNEURS - TAMAREAU;11660;855;855;1040;1040;0,684;4,549;29,943;190,626
LIT 225kV NO 1 QUINTES (LES)-ST-CALAIS;39236;1249;1316;1316;1389;2,354;15,737;56,228;357,959
LIT 225kV N0 1 RAIE-TORTUE - VILLEJUST;15924;1040;1285;1285;1388;0,478;4,652;31,519;200,655
LIT 225kV NO 2 RAIE-TORTUE-VILLEJUST;15219;1172;1285;1285;1388;0,453;4,383;29,994;190,948
LIT 225kV NO 1 RASSUEN-ROQUEROUSSE;30192;1062;1160;1160;1238;1,76;12,056;44,545;283,583
LIT 225kV NO 1 REALTOR-SEPTEMES;6966;1062;1160;1160;1238;0,413;2,766;9,904;63,053
LIT 225kV N0 3 REALTOR - SEPTEMES;7112;1062;1160;1160;1238;0,382;2,562;12,325;78,464
LIT 400kV N0 1 REALTOR - TAVEL;91268;2128;2326;2326;2482;2,735;27,716;171,851;1094,04
LIT 400kV N0 2 REALTOR - TAVEL;91202;2128;2326;2326;2482;2,731;27,719;171,787;1093,632
LIT 400kV N0 1 REMISE - TERRIER;28714;3465;3622;3622;3780;0,576;7,565;62,452;397,585
LIT 400kV NO 2 REMISE-TERRIER;28730;3465;3622;3622;3780;0,576;7,568;62,645;398,809
LIT 400kV N0 1 REVIGNY - VIGY;128838;2196;2422;2422;2596;3,893;41,123;228,547;1454,977
LIT 225kV NO 1 RICHEMONT-SAINT HUBERT;3770;413;714;714;899;0,254;1,501;5,381;34,258
LIT 225kV NO 1 RIVENEUVE-TARASCON;35577;716;807;807;887;3,286;14,921;49,593;315,716
LIT 225kV NO 1 RIVIERE (LA)-TREVAS;27117;639;717;717;783;2,465;11,382;36,983;235,438
LIT 225kV NO 1 ROGNAC-ROQUEROUSSE;24566;1062;1160;1160;1238;1,492;10,006;34,872;
LIT 225kV NO 1 ROGNAC-ST-CHAMAS;14043;1062;1160;1160;1238;0,848;5,624;20,464;130,279
LIT 225kV NO 1 ROMAINVILLE-VILLEVAUDE;20202;480;480;782;835;1,394;7,184;184,865;1176,89
LIT 225kV NO 2 ROMAINVILLE-VILLEVAUDE;19154;480;480;835;835;1,252;6,998;173,612;1105,248
LIT 225kV NO 1 ROUGEMONTIER-YAINVILLE;26893;757;946;946;1075;1,618;10,872;38,314;243,916
LIT 400kV N0 1 ROUGEMONTIER - TILLEUL;41287;2200;2300;2300;2400;1,192;12,086;74,818;476,309
LIT 400kV N0 1 ROUGEMONTIER - TOURBE;82949;3416;3622;3622;3780;1,749;25,373;158,222;1007,271
LIT 400kV NO 2 ROUGEMONTIER-TILLEUL;41169;2200;2300;2300;2400;1,192;12,086;74,818;476,309
LIT 400kV NO 2 ROUGEMONTIER-TOURBE;83032;3416;3622;3622;3780;1,735;25,184;157,077;999,985
LIT 225kV NO 1 ROUSSON-SEREIN;42580;435;595;;680;3,821;17,297;59,964;381,742
LIT 225kV NO 1 ROQUEROUSSE-ST-ESTEVE;23308;1034;1128;1128;1203;1,439;9,427;32,89;209,387
LIT 225kV NO 1 RUEYRES-SAVIGNAC;45790;548;606;606;678;5,109;19,887;62,697;399,14
LIT 225kV NO 1 SERRE-PONCON-SISTERON;42224;862;928;928;987;3,508;16,913;59,833;380,908
LIT 225kV NO 1 SAINNEVILLE-YAINVILLE;49270;769;872;872;961;4,38;19,966;71,675;456,298
LIT 225kV NO 1 SANILHAC-TUILIERES;46667;289;543;543;682;4,218;19,176;65,51;417,052
LIT 225kV NO 1 SANSSAC (L'EGLISE)-TREVAS;36870;639;717;717;783;4,442;15,838;48,789;310,601
LIT 225kV N0 1 SAUSSET-VILLEVAUDE;11001;750;850;850;895;0,985;4,45;15,531;98,876
LIT 400kV N0 1 SAUSSET - VILLEVAUDE;11504;2200;2300;2300;2400;0,354;3,946;19,342;123,138
LIT 225kV NO 1 SEREIN-TONNERRE;23150;1100;1187;1187;1302;1,393;9,486;32,796;208,784
LIT 400kV N0 1 SEREIN - VIELMOULIN;95230;2138;2356;2356;2522;2,952;33,112;158,815;1011,05
LIT 225kV NO 1 SERRIERES-ST-VULBAS-EST;50471;204;397;397;493;6,685;21,696;66,891;425,839
LIT 225kV NO 1 SOLEIL (LE)-VOLVON;14948;1123;1211;1211;1290;0,897;5,987;21,555;137,226
LIT 225kV NO 1 ST-AUBAN-SAINTE-TULLE 1;42091;678;729;729;775;5,042;18,112;56,495;359,656
LIT 225kV N0 1 ST-AVOLD-VIGY;32825;1412;1412;1639;1639;0,723;9,937;74,415;473,742
LIT 400kV N0 1 ST-AVOLD - VIGY;34074;1150;1150;1350;1350;0,677;8,928;82,226;523,467
LIT 225kV NO 1 ST CESAIRE - ST CHRISTOL;27156;597;676;676;724;3,42;11,744;36,006;229,221
LIT 225kV N0 1 ST-ELOI - VIGNOL;63891;617;740;740;826;5,403;26,383;88,947;566,256
LIT 225kV NO 1 ST-ESTEVE-SAINTE-TULLE 1;34371;280;647;647;824;1,993;13,509;50,07;318,753
LIT 225kV NO 1 ST-JULIEN-VIGY;7202;1100;1187;1187;1302;0,433;2,901;10,387;66,124
LIT 225kV NO 1 ST-ORENS-VERFEIL;17610;1080;1185;1185;1289;1,057;7,079;25,364;161,471
LIT 400kV N0 1 ST-VULBAS-OUEST - VIELMOULIN;198069;2300;2450;2450;2600;3,946;54,59;416,067;2648,765
LIT 400kV N0 1 TAMAREAU - TAVEL;91293;4400;4500;4500;4500;2,036;28,884;171,542;1092,07
LIT 400kV NO 2 TAMAREAU - TAVEL;91272;4400;4500;4500;4500;2,036;28,884;171,542;1092,07
LIT 400kV N0 1 TAUTE - TERRETTE;13998;3465;3622;3622;3780;0,28;3,682;30,568;194,6
LIT 400kV N02 TAUTE-TERRETTE;13998;3465;3622;3622;3780;0,28;3,682;30,568;194,6
LIT 225kV N0 1 TAVEL - VIRADEL;46486;985;985;1129;1165;2,891;18,245;86,919;553,344
LIT 225kV N0 2 TAVEL - VIRADEL;46832;985;985;1129;1165;2,908;18,35;98,712;628,419
LIT 400kV N0 1 TAVEL - TRICASTIN-POSTE (LE);41133;2212;2380;2380;2498;1,294;12,506;77,834;495,504
LIT 400kV NO 2 TAVEL-TRICASTIN-POSTE (LE);41181;2212;2380;2380;2498;1,294;12,506;77,834;495,504
LIT 400kV N0 3 TAVEL - TRICASTIN-POSTE (LE);52405;2334;2470;2470;2596;1,686;15,385;102,074;649,824
LIT 400kV N0 4 TAVEL - TRICASTIN-POSTE (LE);39327;4400;4500;4500;4500;0,589;10,034;87,209;555,189
LIT 400kV N0 5 TAVEL - TRICASTIN-POSTE (LE);39327;3465;3622;3622;3780;0,589;10,025;87,128;554,671
LIT 400kV N0 1 TERRETTE - TOURBE;69804;3416;3622;3622;3780;1,466;21,29;132,674;844,628
LIT 400kV NO 2 TERRETTE-TOURBE;69842;3416;3622;3622;3780;1,469;21,342;132,887;845,986
LIT 225kV N0 1 TRANS - VINS;38676;1000;1000;1160;1185;2,301;15,304;57,173;363,976
LIT 225kV NO 1 VAUPALIERE (LA)-YAINVILLE;16018;599;746;746;847;1,433;6,577;29,598;188,427
LIT 400kV N0 1 VERGER - VILLERBON;26844;2200;2300;2300;2400;0,805;8,172;50,492;321,441
LIT 400kV NO 2 VERGER-VILLERBON;26822;2200;2300;2300;2400;0,806;8,182;50,529;321,677
LIT 225kV NO 1 VERTEFEUILLE-WEPPES;12642;1273;1346;1346;1453;0,758;5,074;18,216;115,966
LIT 225kV N0 1 VINCEY-VITTEL;35257;881;964;964;1040;2,119;14,104;50,94;324,295
LIT 400kV N0 1 WARANDE-WEPPES;65573;3078;3266;3266;3458;1,628;20,841;117,65;748,983
LIT 400kV N0 1 ACHENE - LONNY;63193;2000;2120;2120;2240;1,57;19,76;122;776,676
LIT 225kV N0 1 AUBANGE - MT-SAINT-MARTIN;3830;1161;1230;1230;1300;0,235;1,879;6,316;40,21
LIT 225kV N0 1 AUBANGE - MOULAINE;15162;1161;1230;1230;1300;0,791;6,325;21,255;135,316
LIT 400kV N0 1 AVELGEM - MASTAING;76640;2000;2120;2120;2240;1,91;23,37;208,22;
LIT 400kV N0 2 AVELGEM - AVELIN;42661;2322;2461;2461;2600;1,068;13,566;77,476;493,227
LIT 225kV N0 1 EICHSTETTEN - VOGELGRUN;18400;1100;1187;1187;1290;1,073;5,952;5,085;32,37
LIT 400kV N0 1 EICHSTETTEN - MUHLBACH;31775;2720;2720;2720;2720;0,763;8,205;35,107;223,499
LIT 225kV N0 1 ENSDORF - ST-AVOLD;19946;740;740;740;740;1,671;7,682;49,885;317,579
LIT 400kV N0 1 ENSDORF - VIGY;40208;2720;2720;2720;2720;0,736;10,275;89,405;569,171
LIT 225kV N0 1 MONCEAU - CHOOZ;50530;1057;1120;1120;1184;3,085;22,481;54,431;346,519
